COFRADIA	ESPECIE	MES	data	Año	DIAS TRABA	Nº PERSON	Lonja Kg	Importe	Precio Kg en €	CPUE
A CORUÑA	Saccharina lattissima	5	26/05/2021	2021	1	1	977	488.5	0.5	977
A CORUÑA	Saccharina lattissima	5	31/05/2021	2021	1	1	1,000.00	500	0.5	1000
A CORUÑA	Saccharina lattissima	5	04/05/2021	2021	1	1	891	445.5	0.5	891
A CORUÑA	Saccharina lattissima	5	05/05/2021	2021	1	1	664	332	0.5	664
A CORUÑA	Saccharina lattissima	5	10/05/2021	2021	1	1	766	383	0.5	766
A CORUÑA	Saccharina lattissima	5	11/05/2021	2021	1	1	793	396.5	0.5	793
A CORUÑA	Saccharina lattissima	5	12/05/2021	2021	1	1	738	369	0.5	738
A CORUÑA	Saccharina lattissima	5	18/05/2021	2021	1	1	952	476	0.5	952
A CORUÑA	Saccharina lattissima	5	19/05/2021	2021	1	1	958	479	0.5	958
A CORUÑA	Saccharina lattissima	5	20/05/2021	2021	1	1	1,000.00	500	0.5	1000
A CORUÑA	Codium spp.	5	21/05/2021	2021	1	1	690	690	1	690
A CORUÑA	Saccharina lattissima	5	25/05/2021	2021	1	1	962	481	0.5	962
A CORUÑA	Saccharina lattissima	5	26/05/2021	2021	1	1	977	488.5	0.5	977
A CORUÑA	Saccharina lattissima	5	31/05/2021	2021	1	1	1,000.00	500	0.5	1000
A CORUÑA	Saccharina lattissima	5	04/05/2021	2021	1	1	891	445.5	0.5	891
A CORUÑA	Saccharina lattissima	5	05/05/2021	2021	1	1	664	332	0.5	664
A CORUÑA	Saccharina lattissima	5	10/05/2021	2021	1	1	766	383	0.5	766
A CORUÑA	Saccharina lattissima	5	11/05/2021	2021	1	1	793	396.5	0.5	793
A CORUÑA	Saccharina lattissima	5	12/05/2021	2021	1	1	738	369	0.5	738
A CORUÑA	Saccharina lattissima	5	18/05/2021	2021	1	1	952	476	0.5	952
A CORUÑA	Saccharina lattissima	5	19/05/2021	2021	1	1	958	479	0.5	958
A CORUÑA	Saccharina lattissima	5	20/05/2021	2021	1	1	1,000.00	500	0.5	1000
A CORUÑA	Codium spp.	5	21/05/2021	2021	1	1	690	690	1	690
A CORUÑA	Saccharina lattissima	5	25/05/2021	2021	1	1	962	481	0.5	962
A CORUÑA	Saccharina lattissima	5	26/05/2021	2021	1	1	977	488.5	0.5	977
A CORUÑA	Saccharina lattissima	5	31/05/2021	2021	1	1	1,000.00	500	0.5	1000
A CORUÑA	Saccharina lattissima	5	04/05/2021	2021	1	1	891	445.5	0.5	891
A CORUÑA	Saccharina lattissima	5	05/05/2021	2021	1	1	664	332	0.5	664
A CORUÑA	Saccharina lattissima	5	10/05/2021	2021	1	1	766	383	0.5	766
A CORUÑA	Saccharina lattissima	5	11/05/2021	2021	1	1	793	396.5	0.5	793
A CORUÑA	Saccharina lattissima	5	12/05/2021	2021	1	1	738	369	0.5	738
A CORUÑA	Saccharina lattissima	5	18/05/2021	2021	1	1	952	476	0.5	952
